Address,Type,Datetime,Latitude,Longitude,Incident Number
3204 Sw Morgan St,Aid Response Yellow,05/23/2019 06:23:00 AM,47.544669,-122.373777,F190052211
12002 Roosevelt Way Ne,Aid Response Yellow,05/23/2019 06:19:00 AM,47.71583,-122.318021,F190052209
1400 S Main St,Aid Response,05/23/2019 06:14:00 AM,47.600009,-122.31413500000001,F190052208
3009 3RD AV W,Aid Response,05/23/2019 06:03:00 AM,47.646778000000005,-122.360895,F190052207
2704 22nd Av S,Automatic Fire Alarm Resd,05/23/2019 05:10:00 AM,47.579142,-122.304332,F190052205
12740 33rd Av Ne,Aid Response,05/23/2019 05:10:00 AM,47.720938000000004,-122.29251299999999,F190052204
N 89TH ST / AURORA AV N,Medic Response,05/23/2019 05:01:00 AM,47.693461,-122.34455600000001,F190052203
400 Spring St,Scenes Of Violence 7,05/23/2019 04:11:00 AM,47.606801000000004,-122.33356200000001,F190052202
1811 Eastlake Av,Medic Response,05/23/2019 04:10:00 AM,47.618002000000004,-122.329182,F190052201
Lake City Way Ne / Ne 130th St,Medic Response,05/23/2019 03:55:00 AM,47.722899,-122.293194,F190052198
6940 M L King Jr Way S,Medic Response,05/23/2019 03:55:00 AM,47.540318,-122.282693,F190052199
1128 13th Av,Alarm Bell,05/23/2019 03:35:00 AM,47.611678999999995,-122.31543700000002,F190052195
2024 3rd Av,Medic Response,05/23/2019 03:32:00 AM,47.612578000000006,-122.341197,F190052194
11030 5th Av Ne,Aid Response,05/23/2019 03:23:00 AM,47.709488,-122.323301,F190052193
4209 30th Av Sw,Scenes Of Violence Aid,05/23/2019 02:52:00 AM,47.566296,-122.37078500000001,F190052190
1811 Eastlake Av,Trans to AMR,05/23/2019 02:31:00 AM,47.618002000000004,-122.329182,F190052185
2nd Av / Blanchard St,Medic Response,05/23/2019 02:20:00 AM,47.613271000000005,-122.344353,F190052182
8th Av S / S Jackson St,Unk Odor,05/23/2019 02:11:00 AM,47.599185999999996,-122.322445,F190052177
140 23rd Av S,Aid Response,05/23/2019 02:04:00 AM,47.601407,-122.30223500000001,F190052175
3rd Av / Pike St,Aid Response,05/23/2019 02:00:00 AM,47.60975,-122.33779299999999,F190052174
Eb I90 At Rainier,Brush Fire Freeway,05/23/2019 01:37:00 AM,47.592504999999996,-122.31196299999999,F190052170
3rd Av / Pike St,Trans to AMR,05/23/2019 01:32:00 AM,47.60975,-122.33779299999999,F190052168
7547 24th Av Nw,Trans to AMR,05/23/2019 01:29:00 AM,47.683599,-122.387565,F190052167
3211 44th Av Sw,Aid Response,05/23/2019 01:25:00 AM,47.575539,-122.38803500000002,F190052166
12544 27th Av Ne,Aid Response,05/23/2019 01:12:00 AM,47.719694,-122.29909199999999,F190052164
14100 Linden Av N,Trans to AMR,05/23/2019 01:11:00 AM,47.73104,-122.34776399999998,F190052165
9061 Seward Park Av S,Trans to AMR,05/23/2019 01:08:00 AM,47.521679,-122.264284,F190052163
4907 Fremont Av N,Aid Response,05/23/2019 01:01:00 AM,47.664346,-122.350017,F190052161
Westlake Av N / Mercer St,MVI - Motor Vehicle Incident,05/23/2019 01:00:00 AM,47.624552,-122.338435,F190052158
4700 12th Av Ne,Trans to AMR,05/23/2019 12:47:00 AM,47.663106,-122.31526299999999,F190052157
2655 S Hanford St,Aid Response,05/23/2019 12:43:00 AM,47.575082,-122.298624,F190052155
116 Fairview Av N,Trans to AMR,05/23/2019 12:40:00 AM,47.618693,-122.33425600000001,F190052154
2541 Warren Av N,Aid Response,05/23/2019 12:24:00 AM,47.642238,-122.354483,F190052152
3001 S Myrtle St,Aid Response,05/23/2019 12:12:00 AM,47.538902,-122.293225,F190052151
4840 S Holden St,Trans to AMR,05/23/2019 12:09:00 AM,47.533662,-122.272287,F190052150
Aurora Av N / Winona Av N,Aid Response,05/23/2019 12:06:00 AM,47.682772,-122.34448400000001,F190052149
200 Pike St,Auto Fire Alarm,05/23/2019 12:00:00 AM,47.609285,-122.338904,F190052147
3001 S Myrtle St,Medic Response,05/22/2019 11:57:00 PM,47.538902,-122.293225,F190052146
505 1st Av N,Medic Response,05/22/2019 11:43:00 PM,47.623325,-122.355415,F190052145
3rd Av / Stewart St,Aid Response,05/22/2019 11:41:00 PM,47.611629,-122.339592,F190052144
3rd Av / Stewart St,MVI - Motor Vehicle Incident,05/22/2019 11:37:00 PM,47.611629,-122.339592,F190052143
314 E PIKE ST,Aid Response Yellow,05/22/2019 11:29:00 PM,47.613984,-122.327676,F190052141
